Month,Chlamydia
2004-1,169
2004-2,207
2004-3,245
2004-4,234
2004-5,215
2004-6,215
2004-7,175
2004-8,246
2004-9,210
2004-10,201
2004-11,208
2004-12,204
2005-1,193
2005-2,192
2005-3,258
2005-4,244
2005-5,167
2005-6,198
2005-7,214
2005-8,243
2005-9,255
2005-10,226
2005-11,187
2005-12,204
2006-1,184
2006-2,209
2006-3,284
2006-4,233
2006-5,187
2006-6,270
2006-7,161
2006-8,227
2006-9,254
2006-10,226
2006-11,214
2006-12,220
2007-1,144
2007-2,243
2007-3,291
2007-4,249
2007-5,238
2007-6,229
2007-7,251
2007-8,283
2007-9,257
2007-10,229
2007-11,203
2007-12,337
2008-1,309
2008-2,277
2008-3,237
2008-4,265
2008-5,289
2008-6,269
2008-7,252
2008-8,294
2008-9,292
2008-10,312
2008-11,264
2008-12,275
2009-1,280
2009-2,300
2009-3,332
2009-4,320
2009-5,250
2009-6,291
2009-7,290
2009-8,261
2009-9,300
2009-10,271
2009-11,249
2009-12,281
2010-1,366
2010-2,280
2010-3,387
2010-4,336
2010-5,407
2010-6,391
2010-7,332
2010-8,297
2010-9,379
2010-10,251
2010-11,270
2010-12,419
2011-1,300
2011-2,423
2011-3,439
2011-4,339
2011-5,448
2011-6,396
2011-7,344
2011-8,320
2011-9,404
2011-10,341
2011-11,327
2011-12,247
2012-1,316
2012-2,228
2012-3,205
2012-4,1073
2012-5,445
2012-6,370
2012-7,499
2012-8,442
2012-9,395
2012-10,497
2012-11,400
2012-12,388
2013-1,581
2013-2,481
2013-3,1053
2013-4,480
2013-5,372
2013-6,432
2013-7,452
2013-8,455
2013-9,385
2013-10,465
2013-11,363
2013-12,406
2014-1,389
2014-2,441
2014-3,454
2014-4,487
2014-5,344
2014-6,502
2014-7,373
2014-8,388
2014-9,443
2014-10,325
2014-11,314
2014-12,266
2015-1,417
2015-2,395
2015-3,414
2015-4,471
2015-5,407
2015-6,353
2015-7,340
2015-8,318
2015-9,322
2015-10,346
2015-11,313
2015-12,341
2016-1,458
2016-2,634
2016-3,415
2016-4,206
2016-5,345
2016-6,403
2016-7,399
2016-8,413
2016-9,489
2016-10,411
2016-11,479
2016-12,483
2017-1,532
2017-2,483
2017-3,556
2017-4,515
2017-5,525
2017-6,506
2017-7,485
2017-8,674
2017-9,449
2017-10,395
2017-11,318
2017-12,327
